timestamp,frame_number,person_id,helmet_detected,helmet_confidence,vest_detected,vest_confidence,head_bbox,torso_bbox,status
2026-05-01T13:58:10.037751,1,0,False,0.2826,False,0.0452,"[88.93620122273764, 210.3879960378011, 301.81512883504234, 381.0707726796468]",null,VIOLATION
2026-05-01T13:58:10.410768,2,0,False,0.24,False,0.0455,"[86.22859157986112, 205.91656684875488, 292.9773495144314, 386.63832054138186]",null,VIOLATION
2026-05-01T13:58:10.620957,3,0,False,0.2765,False,0.0645,"[88.25690095689562, 211.90282185872394, 307.7246164109972, 382.34314397176104]",null,VIOLATION
2026-05-01T13:58:10.831162,4,0,False,0.2875,False,0.0547,"[89.07432522243924, 216.47339185078937, 306.00174831814235, 382.71864636739093]",null,VIOLATION
2026-05-01T13:58:11.040047,5,0,False,0.2474,False,0.0455,"[101.13887269761828, 215.7715066274007, 294.0006646898058, 385.97375500996907]",null,VIOLATION
2026-05-01T13:58:11.230433,6,0,False,0.3018,False,0.0408,"[103.58469492594399, 221.79914474487305, 304.52677561442056, 378.8035583496094]",null,VIOLATION
2026-05-01T13:58:11.430414,7,0,False,0.2494,False,0.0455,"[95.81007308959961, 213.98183186848956, 289.6881645202637, 385.88390553792317]",null,VIOLATION
2026-05-01T13:58:11.617763,8,0,False,0.2542,False,0.0405,"[94.62279527452257, 213.73121579488117, 296.9268449571398, 389.0720650990804]",null,VIOLATION
2026-05-01T13:58:11.848630,9,0,False,0.2567,False,0.0405,"[92.91291164822049, 218.22424570719403, 297.8160091824002, 380.90186869303386]",null,VIOLATION
2026-05-01T13:58:12.059941,10,0,False,0.2888,False,0.0408,"[101.74265331692166, 222.40650177001953, 298.35039562649195, 379.8875160217285]",null,VIOLATION
2026-05-01T13:58:12.268051,11,0,False,0.3223,False,0.0643,"[86.62863947550454, 224.31554476420087, 306.92773920694987, 376.2540938059489]",null,VIOLATION
2026-05-01T13:58:12.474746,12,0,False,0.2828,False,0.0408,"[93.73832499186197, 223.9322217305501, 299.3195109049479, 379.101005299886]",null,VIOLATION
2026-05-01T13:58:12.694120,13,0,False,0.3134,False,0.055,"[88.83402014838323, 210.34696261088055, 302.4311453925239, 379.42092882792156]",null,VIOLATION
2026-05-01T13:58:12.913101,14,0,False,0.3086,False,0.0641,"[96.645388285319, 216.1730607350667, 301.4183985392252, 373.2340470631917]",null,VIOLATION
2026-05-01T13:58:13.128928,15,0,False,0.3025,False,0.0593,"[86.90913865831165, 211.04667981465656, 295.83335740831166, 376.8238686879476]",null,VIOLATION
2026-05-01T13:58:13.351004,16,0,False,0.2494,False,0.0455,"[88.90158055623372, 207.0075861612956, 288.92761510213217, 382.9466410319011]",null,VIOLATION
2026-05-01T13:58:13.577856,17,0,False,0.3385,False,0.0737,"[77.433413611518, 205.303160349528, 297.78991995917426, 377.54769159952804]",null,VIOLATION
2026-05-01T13:58:13.797949,18,0,False,0.3097,False,0.0457,"[87.43409296671548, 220.8770688374837, 297.30026423136394, 378.42152913411456]",null,VIOLATION
2026-05-01T13:58:14.007246,19,0,False,0.3661,False,0.0549,"[89.38256488376193, 209.08293406168622, 286.5587794833713, 371.49861551920577]",null,VIOLATION
2026-05-01T13:58:14.227240,20,0,False,0.364,False,0.0632,"[91.60161081949869, 217.71746635437012, 291.95724741617835, 362.1168125152588]",null,VIOLATION
2026-05-01T13:58:14.445035,21,0,False,0.35,False,0.0502,"[84.04184078640408, 210.08620580037433, 290.5641857571072, 367.03956044514973]",null,VIOLATION
2026-05-01T13:58:14.664788,22,0,False,0.3734,False,0.0547,"[99.2236819797092, 211.1427879333496, 289.90152316623266, 363.924942779541]",null,VIOLATION
2026-05-01T13:58:14.886148,23,0,False,0.412,False,0.0821,"[90.72591434054904, 201.2445831298828, 295.7759997897678, 354.7814437866211]",null,VIOLATION
2026-05-01T13:58:15.097993,24,0,False,0.3994,False,0.0771,"[86.80345077514649, 219.26814397176105, 296.17914657592775, 345.1801434834798]",null,VIOLATION
2026-05-01T13:58:15.324089,25,0,False,0.4,False,0.0691,"[82.78683615790472, 221.838280359904, 302.4049117194282, 347.61583468119306]",null,VIOLATION
2026-05-01T13:58:15.541032,26,0,False,0.3754,False,0.0547,"[85.53536665174694, 219.25630887349445, 287.7334898206923, 350.3726212819417]",null,VIOLATION
2026-05-01T13:58:15.743067,27,0,False,0.3931,False,0.0691,"[97.18889185587564, 205.87772687276203, 286.7867983500163, 353.33789151509603]",null,VIOLATION
2026-05-01T13:58:15.958579,28,0,False,0.3878,False,0.0691,"[89.28477884928384, 206.92055702209473, 286.1221476236979, 352.5341396331787]",null,VIOLATION
2026-05-01T13:58:16.170039,29,0,False,0.3654,False,0.0547,"[89.3310562133789, 219.789613087972, 287.88863983154295, 354.3342023213704]",null,VIOLATION
2026-05-01T13:58:16.401306,30,0,False,0.3627,False,0.0502,"[88.50647294786242, 222.84666697184247, 290.5034944322374, 363.5390268961589]",null,VIOLATION
2026-05-01T13:58:16.623875,31,0,False,0.3794,False,0.0547,"[83.96165551079645, 230.0508975982666, 293.65310753716363, 349.32394828796384]",null,VIOLATION
2026-05-01T13:58:16.841104,32,0,False,0.3733,False,0.0547,"[90.00693452623156, 228.61580212910968, 297.44568269517686, 353.7956796010335]",null,VIOLATION
2026-05-01T13:58:17.072529,33,0,False,0.3817,False,0.0502,"[91.46287384033202, 228.7330722808838, 300.2296310424805, 352.87281227111816]",null,VIOLATION
2026-05-01T13:58:17.288753,34,0,False,0.3754,False,0.0551,"[84.96947597927517, 221.69878005981445, 291.855025906033, 358.3340675354004]",null,VIOLATION
2026-05-01T13:58:17.494204,35,0,False,0.3792,False,0.0547,"[88.87316428290472, 215.27520497639972, 297.2679091559516, 362.95093510945634]",null,VIOLATION
2026-05-01T13:58:17.726649,36,0,False,0.3738,False,0.0502,"[95.52407540215387, 221.38530413309735, 292.52636422051324, 366.91353670756024]",null,VIOLATION
2026-05-01T13:58:17.955470,37,0,False,0.3792,False,0.0942,"[92.65449634128146, 215.13067245483398, 288.86523242526584, 368.0106399536133]",null,VIOLATION
2026-05-01T13:58:18.193502,38,0,False,0.366,False,0.073,"[87.11913977728949, 227.95414606730145, 289.06149207221137, 352.8799372355143]",null,VIOLATION
2026-05-01T13:58:18.395374,39,0,False,0.3724,False,0.0547,"[89.64413969251844, 215.970033009847, 292.9639730665419, 364.1478177388509]",null,VIOLATION
2026-05-01T13:58:18.621757,40,0,False,0.3915,False,0.0726,"[92.00952258639865, 215.65577507019043, 298.00080676608616, 365.4432010650635]",null,VIOLATION
2026-05-01T13:58:18.833936,41,0,False,0.2897,False,0.0596,"[85.30799374050564, 219.4873110453288, 280.5960979885525, 353.1975847880046]",null,VIOLATION
2026-05-01T13:58:19.052949,42,0,False,0.364,False,0.0879,"[84.7055952284071, 215.67264556884766, 291.03854200575086, 367.3646614074707]",null,VIOLATION
2026-05-01T13:58:19.266469,43,0,False,0.3604,False,0.0737,"[86.74033482869467, 218.92976760864258, 289.1611417134603, 363.75646820068357]",null,VIOLATION
2026-05-01T13:58:19.454870,44,0,False,0.3431,False,0.0691,"[81.14532080756292, 213.47851435343426, 283.15329199896917, 362.83231684366865]",null,VIOLATION
2026-05-01T13:58:19.683628,45,0,False,0.3577,False,0.1061,"[87.98627853393555, 217.7490297953288, 283.7856864929199, 351.42818476359054]",null,VIOLATION
2026-05-01T13:58:19.911329,46,0,False,0.357,False,0.0744,"[83.72534722222223, 219.77292378743488, 281.3427239312066, 355.3297795613607]",null,VIOLATION
